*abissus,*abissī ^ abyssus,abyssī ^ N ^ an abyss, great depth ^ *
abscondō,abscondere,*absconduī,absconditum ^ abscondō,abscondere,abscondī,absconditum ^ V ^ to hide, conceal ^ perfect modeled after form used by domō,domāre,domuī,domitum and doleō,dolēre,doluī,dolitum
acuō,acuere,*acūvī,acūtum ^ acuō,acuere,acuī,acūtum ^ V ^ to make pointed or sharp ^ see note for pluō,pluere,plūvī,x
annuō,annuere,*annūvī,annūtum ^ annuō,annuere,annuī,annūtum ^ V ^ see note for pluō,pluere,plūvī,x
applaudō,applaudere,applausī,applausum ^ * ^ V ^ to clap, applaud ^ *
*apostōlicus,*apostōlica,*apostōlicum ^ apostolicus,apostolica,apostolicum ^ ADJ ^ apostolic ^ see note for *catōlicus,*catōlica,*catōlicum
arguō,arguere,*argūvī,argūtum ^ arguō,arguere,arguī,argūtum ^ V ^ see note for pluō,pluere,plūvī,x
ascendō,ascendere,*ascensī,ascensum  ^ ascendō,ascendere,ascendī,ascensum  ^ V ^ to ascend, go up ^ perfect tense changes 'd' to 's'
aspergō,aspergere,aspersī,aspersum ^ * ^ V ^ to scatter, sprinkle ^ *
*catēdra,*catēdrae ^ cathedra,cathedrae ^ N ^ chair, ceremonial chair, pulpit ^ stress moves to penult
*catōlicus,*catōlica,*catōlicum ^ catholicus,catholica,catholicum ^ V ^ catholic, universal ^ naturalized spelling and pronunciation
*Cēdar,*Cēdāris ^ Cēdār,Cēdār ^ N ^ Kedar, tribe of nomads descendant from Ishmael, Bedouin ^ fully declined
*cōartō,*cōartāre,*cōartāvī,*cōartātum ^ coartō,coartāre,coartāvī,coartātum ^ V ^ to press together, contract together ^ lengthen cō- (con-) prefix before vowels
comminuō,comminuere,*comminūvī,comminūtum ^ comminuō,comminuere,comminuī,comminūtum ^ V ^ to break into pieces, pulverize ^ see note for pluō,pluere,plūvī,x
conscrībō,conscrībere,conscripsī,conscriptum ^ * ^ V ^ to enroll, enlist, draw up, compose ^ *
constituō,constituere,*constitūvī,constitūtum ^ constituō,constituere,*constituī,constitūtum ^ V ^ to place, set up, build ^ see note for pluō,pluere,plūvī,x
convertō,convertere,*convertuī,conversum ^ convertō,convertere,convertī,conversum ^ V ^ to turn, rotate, convert ^ perfect tense by analogy of frendō,frendere,frenduī,frēsum
corruō,corruere,*corrūvī,*corrūtum ^ corruō,corruere,corruī,corrutum ^ V ^ see note for pluō,pluere,plūvī,x
corruō,corruere,*corruxī,*corructum ^ corruō,corruere,corruī,corrutum ^ V ^ to fall down, collapse ^ *
*crūcifīgō,*crūcifīgere,*crūcifixī,*crūcifixum ^ crucifīgō,crucifīgere,crucifixī,crucifixum ^ V ^ to crucify, fix upon a cross ^ see note for crux,*crūcis 
crux,*crūcis ^ crux,crucis ^ N ^ cross, crucifix ^ stressed open vowel changed to long to match modern speech pattern
dēscendō,dēscendere,*dēscensī,dēscensum  ^ dēscendō,dēscendere,dēscendī,dēscensum  ^ V ^ to descend, go down ^ see note for ascendō
dīluō,dīluere,dīlūvī,dīlūtum ^ dīluō,dīluere,dīluī,dīlūtum ^ V ^ to wash away, drench, purge, dissolve ^ see note for pluō,pluere,plūvī,x
*dīlūvium,*dīlūviī ^ dīluvium,dīluviī ^ N ^ a flood ^ stressed vowel lengthens by position and analogy of dīlūtum
dīminuō,dīminuere,*dīminūvī,dīminūtum ^ dīminuō,dīminuere,dīminuī,dīminūtum ^ V ^ to break into small pieces, shatter, diminish ^ see note for pluō,pluere,plūvī,x
disjungō,disjungere,disjunxī,disjunctum ^ * ^ V ^ to disjoin, disunite, divide, seperate ^ *
distribuō,distribuere,*distribūvī,distribūtum ^ distribuō,distribuere,distribuī,distribūtum ^ V ^ to divied, distribute ^ see note for pluō,pluere,plūvī,x
*dōmicilium,*dōmiciliī ^ domicilium,domiciliī ^ N ^ habitation, dwelling place ^ see note for dōmus,dōmūs 
*dōmus,*dōmūs ^ domus,domūs ^ N ^ house ^ lengthen stressed vowel, disambiguates root from that in dominus, normalize as 4th declension noun
ēruō,ēruere,*ēruī,*ērutum ^ ēruō,ēruere,ērūvī,ērūtum ^ V ^ to cast out, pluck out ^ see note for pluō,pluere,plūvī,x
*evor,*evoris ^ ebur,ebornis ^ N ^ ivory ^ medieval spelling with 'b' changed to 'v' for Germanic influence
*evorneus,*evornea,*evorneum ^ eborneus,ebornea,eborneum ^ ADJ ^ made of ivory ^ see note for evor,evoris
exacuō,exacuere,*exacūvī,exacūtum ^ exacuō,exacuere,exacuī,exacūtum ^ V ^ to sharpen, aggravate ^ see note for pluō,pluere,plūvī,x
exardeō,exardēre,exarsī,exārsum ^ exardeō,exardēre,exarsī,exārsum ^ V ^ to burn, be inflammed ^ *
excellō,excellere,excelluī,excelsum ^ * ^ V ^ to elevate, lift up ^ *
frendō,frendere,frenduī,frēsum ^ * ^ V ^ to crush, grind, lament with rage ^ *
*frūstrē ^ frūstrā ^ ADV ^ in error, deception, without effect ^ vowel change by analogy of normal adverb formation
*hōdiē ^ hodiē ^ ADV ^ today ^ analogical lengthening by origin hōc + diē
incendō,incendere,*incensī,incensum ^ incendō,incendere,incendī,incensum ^ V ^ to set on fire, kindle ^ perfect tense changes 'd' to 's', see oblīdō,oblīdere,oblīsī,oblīsum
induō,induere,*indūvī,indūtum ^ induō,induere,induī,indūtum ^ V ^ to put on (clothes), assume ^ see note for pluō,pluere,plūvī,x
irruō,irruere,*irrūvī,*irrūtum ^ irruō,irruere,irruī,irrutum ^ V ^ to hurry, rush into, charge ^ see note for pluō,pluere,plūvī,x
*Jerūsalim,*Jerūsalīmis ^ Hierosolyma,Hierosolymae ^ N ^ Jerusalem ^ *
*jūvenis,*jūvenis ^ iuvenis,iuvenis ^ ADJ ^ youthful, young ^ also used as noun for 'youth', lengthen vowel due to stress and analogy of 'jū' morpheme found in other words
laedō,laedere,laesī,laesum ^ * ^ V ^ to strike, hurt, offend ^ *
*Lībanus,*Lībanī ^ Libanus,Libanī ^ N ^ Lebanon ^ lengthen stressed vowel, Germanic influence
lōcusta,lōcustae ^ * ^ locust ^ *
metuō,metuere,metūvī,metūtum ^ metuō,metuere,metuī,metūtum ^ V ^ to fear, (with dative) to be afraid of, dread ^ see note for pluō,pluere,plūvī,x
minuō,minuere,*minūvī,minūtum ^ minuō,minuere,minuī,minūtum ^ V ^ to make smaller, diminish, attenuate ^ see note for pluō,pluere,plūvī,x
nisī ^ nisi ^ CONJ ^ if not, unless ^ final 'i' regularized to be long
*nocticorax,*nocticorācis ^ nycticorax,nycticoracis ^ N ^ night raven ^ use Latin root for night rather than Greek 
oblīdō,oblīdere,oblīsī,oblīsum ^ * ^ V ^ to crush, squeeze ^ *
obruō,obruere,*obrūvī,*obrūtum ^ obruō,obruere,obruī,obrutum ^ V ^ to overwhelm, overpower ^ see note for pluō,pluere,plūvī,x
occīdō,occīdere,*occīsī,occīsum ^ occīdō,occīdere,occīdī,occīsum ^ V ^ to cut, kill, slay ^ perfect tense changes 'd' to 's', see oblīdō,oblīdere,oblīsī,oblīsum
occidō,occidere,*occisī,occisum ^ occidō,occidere,occidī,occisum ^ V ^ to fall, perish, be ruined ^ perfect tense changes 'd' to 's'
ostendō,ostendere,*ostensī,ostensum ^ ostendō,ostendere,ostendī,ostensum ^ V ^ to expose to view, show, reveal ^ perfect tense changes 'd' to 's', see oblīdō,oblīdere,oblīsī,oblīsum 
pluō,pluere,plūvī,x ^ pluō,pluere,pluī,x ^ V ^ to rain ^ revive old Latin perfect -ūvī
polluō,polluere,*pollūvī,pollūtum ^ polluō,polluere,polluī,pollūtum ^ V ^ to soil, defile, pollute ^ see note for pluō,pluere,plūvī,x
promptuārium,promptuāriī ^ * ^ N ^ repository, storehouse ^ *
psallō,psallere,*psalsī,x ^ psallō,psallere,*psallī,x ^ V ^ to chant, sing, give praise, sing psalms
quasī ^ quasi ^ CONJ ^ as if, like ^ see note for nisī
renuō,renuere,*renūvī,x ^ renuō,renuere,renuī,x ^ V ^ to nod the head backwards as sign of refusal, deny, reject ^ see note for pluō,pluere,plūvī,x
reptilis,reptile ^ * ^ ADJ ^ crawling, creeping ^ *
restituō,restituere,*restitūvī,restitūtum ^ restituō,restituere,restituī,restitūtum ^ V ^ to replace, restore, rebuild ^ see note for pluō,pluere,plūvī,x
restribuō,retribuere,*retribūvī,retribūtum ^ restribuō,retribuere,retribuī,retribūtum ^ V ^ to give back, repay (money), recompense ^ see note for pluō,pluere,plūvī,x
ruō,ruere,*rūvī,rūtum ^ ruō,ruere,ruī,rutum ^ V ^ to rush, fall ^ see note for pluō,pluere,plūvī,x
saepe,saepis ^ * ^ ADJ ^ frequent, occuring often ^ *
*saepiter ^ saepe ^ ADV ^ frequently, often, many times ^ normalize to third declension adverb paradigm, see saepis
Sion,Siōnis ^ * ^ Zion ^ *
statuō,statuere,*statūvī,statūtum ^ statuō,statuere,statuī,statūtum ^ V ^ to set up, establish, erect ^ see note for pluō,pluere,plūvī,x
scrībō,scrībere,scripsī,scriptum ^ * ^ V ^ to write ^ *
surruō,surruere,*surrūvī,*surrūtum ^ surruō,surruere,surruī,surrutum ^ V ^ to undermine, overthrow ^ see note for pluō,pluere,plūvī,x
tezaurizō,tezaurizāre,tezsaurizāvī,tezaurizātum ^ thēsaurizō,thēsaurizāre,thēsaurizāvī,thēsaurizātum ^ V ^ to gather or lay up treasure ^ *
tezaurus,tezaurī ^ thēsaurus,thēsaurī ^ N ^ treasury, hoard, vault, repository ^ see Romanian tezaur
tribuō,tribuere,*tribūvī,tribūtum ^ tribuō,tribuere,tribuī,tribūtum ^ V ^ to grant, bestow, yield ^ see note for pluō,pluere,plūvī,x
trōnus,trōnī ^ thronus,thronī ^ N ^ throne ^ match modern ecclesiastical pronunciation
*vittus,*vittūs ^ victus,victūs ^ living, nourishment, that which is necessary for life ^ Italianate spelling, distinguishes from victus,victa,victum
*vulātilis,*vulātile ^ volātilis,volātile ^ ADJ ^flying, winged ^ see note for *vulō,*vulāre,*vulāvī,*vulātum
*vulō,*vulāre,*vulāvī,*vulātum ^ volō,volāre,volāvī,volātum ^ V ^ to fly ^ unstressed 'o' weakening to 'u', provides greater distinction between volō,velle,voluī,x
